budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
0,Behaviour Worldwide,USA,Valerie Breiman,Comedy,546287,Love & Sex,R,14/07/2000,82,6.3,Famke Janssen,4781,Valerie Breiman,2000
36000000,Légende Films,France,Roland Joffé,Biography,49464,Vatel,PG-13,17/11/2001,103,6.6,Gérard Depardieu,6605,Jeanne Labrune,2000
1000000,Brillstein-Grey Entertainment,USA,Craig Mazin,Action,12996,The Specials,R,18/09/2000,82,6,Rob Lowe,2010,James Gunn,2000
0,Athanor,Czech Republic,Jan Svankmajer,Animation,116710,Greedy Guts,Not specified,25/01/2001,132,7.4,Veronika Zilková,5091,Karel Jaromír Erben,2000
0,Independent Film Channel (IFC),USA,Brad Anderson,Comedy,688510,Happy Accidents,R,12/09/2001,110,7.3,Marisa Tomei,8717,Brad Anderson,2000
60000000,Brillstein-Grey Entertainment,USA,Mike Nichols,Comedy,6291602,What Planet Are You From?,R,03/03/2000,105,5.6,Garry Shandling,8346,Garry Shandling,2000
0,BMG Funhouse,Japan,Yoshiaki Kawajiri,Animation,25521,Vampire Hunter D: Bloodlust,R,28/09/2001,103,7.7,Andrew Philpot,24614,Hideyuki Kikuchi,2000
0,Fidélité Productions,France,François Ozon,Comedy,86132,Water Drops on Burning Rocks,NOT RATED,15/03/2000,82,6.9,Bernard Giraudeau,5166,Rainer Werner Fassbinder,2000
0,Better Than,Australia,Jonathan Teplitzky,Drama,94940,Better Than Sex,R,10/05/2002,95,6.4,David Wenham,2002,Jonathan Teplitzky,2000
0,Fidélité Productions,France,François Ozon,Drama,1450106,Under the Sand,UNRATED,04/05/2001,92,7.2,Charlotte Rampling,7119,François Ozon,2000
0,Arte France Cinéma,France,Sébastien Lifshitz,Drama,8867,Come Undone,R,07/06/2000,98,6.7,Jérémie Elkaïm,4360,Sébastien Lifshitz,2000
0,Boneyard Entertainment,UK,Joel Hershman,Comedy,1439287,Greenfingers,R,14/09/2001,91,6.9,Clive Owen,4800,Joel Hershman,2000
0,Istituto Luce,Italy,Silvio Soldini,Comedy,5311177,Bread and Tulips,PG-13,02/11/2001,114,7.4,Licia Maglietta,8210,Silvio Soldini,2000
